race_id,athlete_id,swim,t1,bike,t2,run,overall,notes
389432,8045,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,02:31:00,Sergio Muciño has incorrect overall time; time interpolated from competition
264795,47782,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,2:05:20,Luisa Baptista has incorrect run split. Removed for consistency
333117,96688,00:10:00,00:00:41,00:31:38,00:00:26,00:18:18,01:01:03,Pauline Landron has incorrectly formatted overall time; recalculated from splits
333117,104333,00:10:01,00:00:43,00:31:36,00:00:29,00:19:28,01:02:17,Jessica Fullagar has incorrectly formatted overall time; recalculated from splits
333117,96747,00:09:58,00:00:44,00:31:37,00:00:25,00:20:26,01:03:10,Emma Ducreux has incorrectly formatted overall time; recalculated from splits
333117,96812,00:09:59,00:00:49,00:31:37,00:00:31,00:20:41,01:03:37,Julie Iemmolo has incorrectly formatted overall time; recalculated from splits
333117,104946,00:10:31,00:00:45,00:32:49,00:00:29,00:19:11,01:03:45,Audrey Ducornet has incorrectly formatted overall time; recalculated from splits
333117,117232,00:10:52,00:00:46,00:32:24,00:00:29,00:19:29,01:04:00,Marine Vetillard has incorrectly formatted overall time; recalculated from splits
333117,111231,00:10:26,00:00:44,00:32:52,00:00:29,00:19:36,01:04:07,Blandine Guilloteau has incorrectly formatted overall time; recalculated from splits
333117,122662,00:10:34,00:00:47,00:32:46,00:00:31,00:19:47,01:04:25,Laurie Maisonneuve has incorrectly formatted overall time; recalculated from splits
333117,128131,00:10:39,00:00:47,00:32:39,00:00:30,00:20:20,01:04:55,Ines De Poorter has incorrectly formatted overall time; recalculated from splits
333117,117233,00:10:27,00:00:44,00:32:50,00:00:34,00:20:33,01:05:08,Juliette Duquesne has incorrectly formatted overall time; recalculated from splits
333117,106878,00:10:51,00:00:46,00:32:22,00:00:27,00:20:51,01:05:17,Juliette Mahe has incorrectly formatted overall time; recalculated from splits
333117,128132,00:10:48,00:00:51,00:32:26,00:00:31,00:20:47,01:05:23,Edmee Lachat has incorrectly formatted overall time; recalculated from splits
